Year,State,State Name,Population,Total Arrests,Arrests per Capita,Larceny - Theft,Vehicle Theft,Arson,Burglary,Embezzlement,Forgery and Counterfeiting,Fraud,Vandalism,Dealing in Stolen Property,Larceny - Theft (%),Vehicle Theft (%),Burglary (%),Vandalism (%),Fraud (%),Dealing in Stolen Property (%),Forgery and Counterfeiting (%),Embezzlement (%),Arson (%)
2010,LA,Louisiana,4645318.0,28871,621.5075049759779,18014,688,102,3811,159,632,1884,2302,1279,1.7549397257017714,1.2036389083275016,1.6316377601479648,1.1364982819226668,1.2388298187126427,1.680948375565135,1.0161425172036787,1.1877194292970792,1.1216186496591158
2011,LA,Louisiana,4645318.0,25659,552.3626154334321,15465,578,122,3782,24,365,1411,2540,1372,1.5088791169764268,1.0941374675828648,1.605842515338726,1.331523021194282,1.0689555902362158,1.8450283747075118,0.6506238859180036,0.18663970759779144,1.3167835941716137
2012,LA,Louisiana,4645318.0,31558,679.3506924606669,20467,631,107,4469,33,421,1406,2565,1459,1.952600286970326,1.1277725152365463,1.9346571600496976,1.388430288890934,1.1270360395023726,1.8342741479237121,0.7732858218687435,0.25714953635159354,1.140724946695096
2013,LA,Louisiana,4645318.0,35063,754.8030081040738,23168,847,100,4389,160,666,1648,2802,1283,2.25303680537119,1.1589086829214899,2.131824363707014,1.710257271034883,1.4315248171505013,1.6973593692120443,1.3470056428614767,1.241946751533028,1.1745360582569884
2014,LA,Louisiana,4645318.0,26604,572.7056791375746,16971,751,72,3657,102,558,1178,2098,1217,1.6807579900626213,1.3639913547285638,1.9043106051927223,1.31378725162971,1.040066394730801,1.6973500697350068,1.217091630859162,0.7817290006131208,0.9488666315234582
2015,LA,Louisiana,4645318.0,41961,903.2966096185452,27660,1239,112,5118,134,673,1387,3384,2254,2.9055079649364224,1.9868505452212957,2.9031873798138284,2.1785033733326467,1.2678940344077372,3.125650021494044,1.4930339870441032,1.034190013120321,1.5620641562064157
2016,LA,Louisiana,4645318.0,42294,910.4651177809571,26271,1438,136,5690,172,798,1498,3906,2385,2.9741237310643154,2.034406654971422,3.2872312154089687,2.4020958378431567,1.382122822556835,3.0202872122179163,1.6836863870368808,1.2706855791962175,1.6603589305335125
2017,LA,Louisiana,4645318.0,33398,718.9604672920132,19940,1384,105,4716,71,654,1218,3073,2237,2.3313102922555835,1.6848051031090983,2.6125397476096035,1.8913329804650474,1.0626232311423636,2.698529500464432,1.3585940421288796,0.4978263918104053,1.3574660633484164
2018,LA,Louisiana,4645318.0,41621,895.9774120953614,25073,1694,110,5828,140,769,1339,3536,3132,3.3396958003721577,2.2689525850522365,3.9071875356158783,2.36737098631531,1.3165268860550405,3.9753255654557917,1.815477595731621,1.1436974103422923,1.449466332850178
2019,LA,Louisiana,4645318.0,37815,814.0454539387831,22860,1514,148,5258,131,690,1167,3398,2649,3.10693651438691,2.128197919595164,3.5911621077075435,2.330861623097343,1.1608128674166691,3.6351909538774,1.8027433050293924,1.1054852320675106,2.0492938244253667
2020,LA,Louisiana,4645318.0,29292,630.5703936738023,17004,1122,85,4070,83,427,997,3098,2406,3.3460914055197524,1.672255756762799,3.3842776604413696,2.361280487804878,1.5372043541274785,3.6644988348538616,1.7381039605975497,1.1176945865876649,1.1643835616438356
2010,ME,Maine,1350141.0,10874,805.3973622014294,6207,234,103,1491,45,318,744,1522,210,0.6046913998795878,0.4093771868439468,0.6383552611862019,0.7514119830956989,0.48921941885467424,0.2759962149090527,0.5112868994790661,0.3361470082916262,1.1326149109302837
2011,ME,Maine,1350141.0,11024,816.5073129399078,6378,305,77,1399,56,368,755,1488,198,0.6222845786017233,0.5773562761466674,0.5940173661974821,0.7800418328886186,0.571978363308535,0.26626502783679834,0.6559714795008912,0.43549265106151336,0.8310847274689692
2012,ME,Maine,1350141.0,10939,810.2116741881033,6626,264,76,1304,55,284,659,1472,199,0.6321360972035658,0.4718414326821683,0.5645094957943176,0.796791183332341,0.5282480441195331,0.25018543895601014,0.5216464926620502,0.42858256058598926,0.810234541577825
2013,ME,Maine,1350141.0,10188,754.5878541574547,6364,251,46,1099,43,271,672,1255,187,0.6188849373870102,0.3434310264619763,0.5338061006411502,0.7660145878475295,0.5837285662167092,0.24739376620627612,0.5481058997229132,0.3337731894745013,0.5402865867982147
2014,ME,Maine,1350141.0,9554,707.6297957028191,6125,222,42,910,60,232,646,1167,150,0.6066020086697045,0.40320383588514136,0.47386454764161257,0.7307863311019406,0.5703589906588264,0.20920502092050208,0.5060309289593649,0.4598405885959534,0.5535055350553505
2015,ME,Maine,1350141.0,8472,627.4900177092615,5368,235,29,854,46,253,564,1013,110,0.5638744307946029,0.37684413085311097,0.4844318136695993,0.6521347273008188,0.515567581403002,0.15253837726900835,0.5612742923063271,0.35502045226518486,0.4044630404463041
2016,ME,Maine,1350141.0,7676,568.5332124570692,4709,207,77,683,69,229,558,1052,92,0.5331029899730448,0.2928526965084036,0.3945832900042751,0.6469546393781364,0.5148361381753764,0.11650583795557581,0.4831631361296312,0.5097517730496455,0.940056159199121
